Project ID	Assay type	Project title	Project description	Public accession	Journal	Total runs	Processed runs	Related phenotypes	Related phenotype IDs
PRJEB37635	16S	Microbiome analysis of over 2000 NHS Bowel Cancer Screening Programme (NHSBCSP) samples shows the potential to improve screening accuracy	Background CRC is the fourth global cause of cancer deaths. As CRC is associated with an altered faecal microbiome, there is the potential for faecal microbiome analysis to improve CRC screening. This has been demonstrated by a number of studies, however it has never been tested using samples collected routinely by a national CRC screening programme.MethodsBetween 2016-2019 the largest of the five NHS Bowel Cancer Screening Programme (NHSBCSP) hubs, the Southern Hub, prospectively collected and anonymised processed card samples with recorded outcomes: blood-negative (n=491); CRC (n=434); adenoma (n=668); colonoscopy-normal (n=303); and non-neoplastic (n=380). Extracted DNA underwent V4 16SrRNA NGS, with QIIME2, LEfSe and Random Forest analysis.Findings The microbiome was successfully analysed from screening samples. LEfSe analysis confirmed CRC-microbiome associations described in the existing literature, but interestingly showed that these were affected by choice of control group (blood-negative or colonoscopy-normal). Random Forest models based on relative abundance of genera distinguished: CRC from blood-negative samples with AUC: 0.896 (0.869−0.923); CRC from colonoscopy-normal samples with AUC: 0.77 (0.72−0.815); neoplasm from blood-negative samples with AUC: 0.825 (0.788−0.856); and neoplasm from colonoscopy-normal samples with AUC: 0.736 (0.688−0.781). Models remained robust when restricted to the top ten-fifteen taxa. CRC-enriched taxa included Fusobacterium, Peptostreptococcus, Parvimonas, Gemella and Porphyromonas. The microbiome of samples stored at ambient temperature up to 23 months was stable. Random Forest models based on relative abundance of genera distinguished: CRC from blood-negative samples with AUC(validation): 0.896 (0.869−0.923); CRC from colonoscopy-normal samples with AUC(validation): 0.77 (0.72−0.815); neoplasm from blood-negative samples with AUC(validation): 0.825 (0.788−0.856); and neoplasm from colonoscopy-normal samples with AUC(validation): 0.736 (0.688−0.781). All of the models performed significantly better than models generated for comparison which used age and gender alone.InterpretationThis study demonstrates that microbiome analysis can be performed on samples collected routinely by a national CRC screening programme to improve accuracy. The models required as few as ten taxa, which raises the potential of an inexpensive qPCR-based test. This could reduce the number of unnecessary colonoscopies in countries which use faecal occult blood test screening.	33658300	Clinical Cancer Research	1593	1593	Adenomatous Polyps;Colorectal Neoplasms;Health	D006262;D015179;D018256
PRJNA720145	WGS	GO: Gut Microbiome and Oral Fluoropyrimidine Study in Patients with Colorectal Cancer	This is a pilot feasibility study designed to investigate the alterations in the gut microbiome that occur during the course of treatment for colorectal cancer (CRC). Three patient cohorts will be followed. Cohort A: patients treated with oral fluoropyrimidine CAP as part of standard of care (SOC) chemotherapy. Cohort B: patients treated with TAS-102 including those receiving it in combination with Y-90 radioembolization as part of a clinical trial. Cohort C: patients receiving CAP plus immunotherapy (pembrolizumab) and bevacizumab as part of a clinical trial. Investigators will replace participants as needed to ensure a minimum of 10 evaluable participants per cohort (or minimum total of 30 evaluable patients). Evaluable participants are defined as patients with two analyzable stool samples including a baseline sample and at least one on-treatment sample to be used in endpoint analysis. More details can be found at ClinicalTrials.gov NCT04054908	36138165	Nature Microbiology	10	10	Colorectal Neoplasms	D015179
PRJNA745329	WGS	Fecal and colon mucosa sequencing of tubular adenoma, serrated, and polyp-free individuals	Colorectal cancer is one of the most common cancers in the world. Its development is heterogenous, with multiple mechanisms of carcinogenesis. Two distinct mechanisms include the adenoma-carcinoma sequence and the serrated pathway. The gut microbiome has been identified as a key player in the adenoma-carcinoma sequence, but its role in serrated carcinogenesis is unclear. Here, we investigated the gut microbiome associated with these two pathways using mucosal and fecal samples from human subjects during colonoscopy. Sample collection focused on healthy individuals and those with tubular adenomas, hyperplastic polyps, and sessile serrated polyps.	36038569	npj Biofilms and Microbiomes	35	35	Adenomatous Polyps;Health	D006262;D018256
PRJNA763023	16S	Dysbiosis of human gut microbiome in young-onset colorectal cancer	Our study comprehensively characterizes the association between gut microbiome dysbiosis and CRC risks in young or elderly groups, and highlights the great potential of gut microbiota biomarkers as a promising non-invasive tool in accurate detection and distinction of CRC onset based on age.	34799562	Nature Communications	552	1038	Colorectal Neoplasms;Health	D006262;D015179
PRJNA763872	16S	Microbial community of human fecal samples	To facilitate clinical early detection of CRC using microbiome-based markers, fecal samples of healthy people, polyp and colorectal cancer patients were collected, and then the microbial community composition and diversity between patients and healthy controls were studied by using 16S rRNA sequencing.	35308221	Frontiers in Pharmacology	62	62	Colonic Polyps;Colorectal Neoplasms;Health	D003111;D006262;D015179
PRJNA797640	16S	Raw Sequence Reads of Colorectal Cancer Patients	This project discovers the effect of modifiable factors on microbiome profiles of colorectal cancer patients.	35701733	BMC Cancer	331	331	Colorectal Neoplasms	D015179
PRJNA801143	16S	USING FAECAL IMMMUNOCHEMICAL CARTRIDGES FOR GUT MICROBIOME ANALYSIS WITHIN A COLORECTAL CANCER SCREENING PROGRAM	Samples were collected from participants of the B-PREDICT screening program using FIT cartridges as well as Stool Collection and Preservation Tubes and 16S rRNA gene sequencing was performed.	36794815	Gut Microbes	162	162	Colorectal Neoplasms	D015179
PRJNA807640	16S	Differences in gut microbiome abundances and diversity by physical activity levels and BMI in colorectal cancer patients	Associations of energy balance components, including physical activity and obesity, with colorectal cancer risk and mortality are well established, yet, the gut microbiome has not been investigated as underlying mechanism. We investigated associations of physical activity, BMI, and combinations of physical activity levels/BMI with gut microbiome diversity and differential abundances among colorectal cancer patients.	36381318	American Journal of Cancer Research	303	304	Colorectal Neoplasms	D015179
PRJNA859426	16S	Fecal samples from the Korean patients with primary CRC	Fecal samples from the Korean patients with primary CRC	36443754	Microbiome	333	333	Colorectal Neoplasms	D015179
PRJNA869306	16S	Comparison of luminal and tumor-associated gut microbiome in patients with precancerous lesions and early forms of colon cancer: a compositional approach	Colorectal cancer (CRC) is the third diagnosed cancer worldwide. Human gut microbiome plays important roles in protecting against it, as well as contributing to its onset and progression. Identification of specific bacterial taxa associated with early stages of CRC may help develop effective microbiome-based diagnostics. For precancerous lesions, links of their characteristics to luminal and tumor-associated microbiome composition are to be elucidated.Paired stool and tumor brush biopsy samples were collected from 50 patients with precancerous lesions and early forms of colon cancer. Their microbial communities were investigated using high-throughput 16S rRNA sequencing. Statistical comparison of microbiome composition with lesion characteristics was performed using the "nearest balance", a novel compositionality-aware statistical method.There was a strong directional difference between the stool and biopsy samples reflected by a bacterial balance including 34 genera. We discovered multiple associations of overall microbiome composition and alpha diversity with the number of lesions, lesion type and location, with stronger effects for the biopsy samples. Compared to the left-sided lesions, the right-sided ones had reproducibly higher balance of 4 species (among them two Lachnospiraceae members) to 5 species (including Alistipes shahii and species from Parabacteroides and Bifidobacterium genera). The balance differentiating the small from the large lesions was partially overlapping. Probable pathway of malignization tended to be associated with 2 microbial cooperatives (co-abundance groups).Our results contribute to the basis for developing early non-invasive CRC diagnostics via establishing prognostic biomarkers and understanding the mechanisms of microorganisms participation in its pathogenesis.	36358626	Cancers	50	50	Colorectal Neoplasms	D015179
